"ID","Length","Denticles","Three_phase_assignment"
"BAH_DR_DR-2_1",249.962856089085,6,"Phase 1: early juvenile"
"BAH_DR_DR-2_2",300.821698841633,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-2_3",312.452331797167,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-3_1",339.213483197868,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-3_2",363.825593669606,8,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-3_3",370.537991514502,8,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-3_4",339.125580383058,9,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-4_1",295.80278283576,7,"Phase 1: early juvenile"
"BAH_DR_DR-4_2",520.551775087023,11,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-4_3",589.889128722498,11,"Phase 3: likely adult"
"BAH_DR_DR-4_4",550.279371838923,11,"Phase 3: likely adult"
"BAH_DR_DR-4_5",582.651710419305,11,"Phase 3: likely adult"
"BAH_DR_DR-4_6",404.6902892397,10,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-5_1",325.052236652679,8,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-6_1",368.586430891988,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-7_1",264.429058373726,8,"Phase 1: early juvenile"
"BAH_DR_DR-9_1",288.023544721879,6,"Phase 1: early juvenile"
"BAH_DR_DR-9_2",357.162810972708,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-9_3",342.433458129427,7,"Phase 2: late juvenile / subadult"
"BAH_DR_DR-9_4",335.437428822169,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_1",365.779502610736,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_2",294.762537240249,8,"Phase 1: early juvenile"
"SL_PR_PR16_3",351.207049515447,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_4",313.077746547168,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_5",313.658444413982,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_6",344.015686516302,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_7",326.416014504736,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR16_8",340.130467813435,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR17_1",341.746526882931,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR17_2",389.370386917418,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR17_3",264.263927057215,5,"Phase 1: early juvenile"
"SL_PR_PR18_1",385.131325365162,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_10",443.652805740392,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_11",369.678832219759,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_2",300.00297464946,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_3",365.27654541834,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_4",321.441303385621,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_5",276.68229727176,6,"Phase 1: early juvenile"
"SL_PR_PR18_6",358.670083574712,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_7",280.759226270146,7,"Phase 1: early juvenile"
"SL_PR_PR18_8",300.812974793058,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR18_9",302.924902995783,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_1",327.395525141742,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_10",297.864173475498,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_11",390.554527165145,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_12",366.084715581937,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_13",321.106271172858,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_15",274.162963845852,6,"Phase 1: early juvenile"
"SL_PR_PR19_16",291.689209021854,7,"Phase 1: early juvenile"
"SL_PR_PR19_17",286.971337128846,6,"Phase 1: early juvenile"
"SL_PR_PR19_18",376.950358564274,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_19",274.762316647524,6,"Phase 1: early juvenile"
"SL_PR_PR19_2",304.739132991704,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_20",353.990005075292,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_21",371.671474001279,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_22",318.437209707353,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_23",397.623912450097,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_24",276.480409477298,7,"Phase 1: early juvenile"
"SL_PR_PR19_25",356.749967640404,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_3",284.032834872764,6,"Phase 1: early juvenile"
"SL_PR_PR19_4",351.641173529052,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_5",381.596780699081,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR19_6",260.971096148188,6,"Phase 1: early juvenile"
"SL_PR_PR19_7",285.500869548726,6,"Phase 1: early juvenile"
"SL_PR_PR19_8",293.014560241736,7,"Phase 1: early juvenile"
"SL_PR_PR19_9",303.972632681364,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_1",334.38367878796,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_10",299.452384190553,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_11",413.142102763532,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_2",359.187628074671,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_3",277.143707098641,5,"Phase 1: early juvenile"
"SL_PR_PR21_4",405.185793470653,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_5",315.581447739403,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_6",425.160704110775,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_7",396.527656458998,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_8",380.413475274313,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR21_9",356.162198661286,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR4_1",392.287701099121,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR4_2",402.697440981955,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR4_3",423.834784749164,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_1",342.90429242934,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_10",360.27167647494,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_11",341.41902765081,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_12",322.781320673247,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_2",391.928565836016,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_3",398.217096976959,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_4",446.725007378504,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_5",304.916099035873,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_6",401.586334944342,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_7",432.872370921164,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_8",308.356014105358,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR5_9",374.547647781517,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR6_1",369.529881342413,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR6_2",296.426328621819,7,"Phase 1: early juvenile"
"SL_PR_PR6_3",290.206781170822,7,"Phase 1: early juvenile"
"SL_PR_PR6_4",443.870845384491,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR6_5",368.765874171283,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR6_6",329.154961703661,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_1",328.833412730175,6,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_10",430.089737179545,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_11",489.414016371667,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_12",506.914189912079,11,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_13",400.677884004148,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_14",491.582,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_15",545.195764420071,8,"Phase 3: likely adult"
"SL_PR_PR7_16",320.260979757623,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_17",633.657540459433,9,"Phase 3: likely adult"
"SL_PR_PR7_2",250.211628903986,7,"Phase 1: early juvenile"
"SL_PR_PR7_3",363.884988,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_4",349.397581294508,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_5",284.455013858894,8,"Phase 1: early juvenile"
"SL_PR_PR7_6",514.859900930683,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_7",302.425317843616,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_8",447.171323218553,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR7_9",483.510277778893,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_1",465.653563345788,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_10",411.012137068686,9,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_11",539.705798292929,9,"Phase 3: likely adult"
"SL_PR_PR8A_12",451.916301605535,10,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_13",302.233875389046,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_14",394.689325595529,7,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_15",419.166205711852,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_2",382.148276428752,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_3",394.451996300314,8,"Phase 2: late juvenile / subadult"
"SL_PR_PR8A_4",362.087527843704,9,"Phase 2: late juvenile / subadult"
