ID,Country,Section,Region,Chirality,FaciesZone
BAH_Dr_DR-2_2,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-2_3,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-3_1,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-3_2,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-3_3,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-3_4,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-4_1,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-4_2,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-4_3,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-4_4,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-4_5,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-4_6,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-5_1,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-6_1,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-7_1,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
BAH_Dr_DR-9_2,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-9_3,Bosnia and Herzegovina,Drežnica,North-Eastern ,R,FZ3
BAH_Dr_DR-9_4,Bosnia and Herzegovina,Drežnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_1,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_10,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_11,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_2,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10A_3,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10A_4,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10A_5,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_6,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_7,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10A_8,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10A_9,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_1,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_10,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_11,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_12,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10_13,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_14,Slovenia,Prikrnica,North-Eastern ,L,FZ3
SL_Pr_PR10_15,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10_16,Slovenia,Prikrnica,North-Eastern ,R,FZ3
SL_Pr_PR10_17,Slovenia,Prikrnica,North-Eastern ,L,FZ3
