Country;Location of sections;No. of specimens;level;No. of specimens
Bosnia and Herzegovina;Drežnica;20;DR-2;3
;;;DR-3;4
;;;DR-4;6
;;;DR-5;1
;;;DR-6;1
;;;DR-7;1
;;;DR-9;4
Slovenia;Prikrnica;363;PR4;3
;;;PR5;12
;;;PR6;6
;;;PR7;17
;;;PR8;66
;;;PR9;80
;;;PR10;28
;;;PR14;2
;;;PR15;12
;;;PR16;8
;;;PR17;3
;;;PR18;11
;;;PR19;25
;;;PR21;12
;;;PR22;43
;;;PR23;16
;;;PR24;19
Spain;Henarejos;49;He-14;15
;;;He-18;33
;;;He-20;1
;Libros;102;Li-8;102
;Burgarra;299;Bu-pl;6
;;;Bu-I-26;293
;Calasparra;16;CLP-6;2
;;;CLP-8;2
;;;Con 01 2;3
;;;Con 01 3;1
;;;CPR 13T;2
;;;Con 01 4;2
;;;GCLP 14.2;1
;;;CON 01 5;1
;;;CPR 44;2
